Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PAX","PATRIA INVESTMENTS LTD CLASS A","Financials","Equity","174,325.15","0.00","174,325.15","14,515.00","12.01","Brazil","NASDAQ","USD","1.00","USD","-"
"RYI","RYERSON HOLDING CORP","Materials","Equity","173,739.51","0.00","173,739.51","9,149.00","18.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AHH","ARMADA HOFFLER PROPERTIES REIT INC","Real Estate","Equity","172,439.98","0.00","172,439.98","15,034.00","11.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CLMB","CLIMB GLOBAL SOLUTIONS INC","Information Technology","Equity","172,135.20","0.00","172,135.20","2,040.00","84.38","United States","NASDAQ","USD","1.00","USD","-"
"TRST","TRUSTCO BANK CORP","Financials","Equity","172,758.96","0.00","172,758.96","5,288.00","32.67","United States","NASDAQ","USD","1.00","USD","-"
"CTLP","CANTALOUPE INC","Financials","Equity","171,495.81","0.00","171,495.81","24,963.00","6.87","United States","NASDAQ","USD","1.00","USD","-"
"BASE","COUCHBASE INC","Information Technology","Equity","171,130.05","0.00","171,130.05","9,555.00","17.91","United States","NASDAQ","USD","1.00","USD","-"
"DCO","DUCOMMUN INC","Industrials","Equity","171,042.52","0.00","171,042.52","2,651.00","64.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OSPN","ONESPAN INC","Information Technology","Equity","171,360.13","0.00","171,360.13","11,149.00","15.37","United States","NASDAQ","USD","1.00","USD","-"
"PUMP","PROPETRO HOLDING CORP","Energy","Equity","171,373.47","0.00","171,373.47","20,329.00","8.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SEMR","SEMRUSH HOLDINGS INC CLASS A","Information Technology","Equity","171,200.80","0.00","171,200.80","12,370.00","13.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBCP","INDEPENDENT BANK CORP","Financials","Equity","170,522.26","0.00","170,522.26","5,242.00","32.53","United States","NASDAQ","USD","1.00","USD","-"
"MTAL","METALS ACQUISITION LTD","Materials","Equity","170,390.64","0.00","170,390.64","14,489.00","11.76","Jersey","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NWPX","NORTHWEST PIPE","Industrials","Equity","170,514.24","0.00","170,514.24","4,056.00","42.04","United States","NASDAQ","USD","1.00","USD","-"
