Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","886,823,322.56","6.11","886,823,322.56","3,946,348.00","224.72","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","850,020,835.24","5.85","850,020,835.24","2,018,908.00","421.03","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","793,208,363.42","5.46","793,208,363.42","6,456,197.00","122.86","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","447,861,024.38","3.08","447,861,024.38","2,521,882.00","177.59","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","319,610,869.29","2.20","319,610,869.29","594,813.00","537.33","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","257,381,893.60","1.77","257,381,893.60","1,595,672.00","161.30","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","219,050,310.12","1.51","219,050,310.12","496,893.00","440.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","218,174,607.00","1.50","218,174,607.00","1,337,100.00","163.17","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","215,120,453.60","1.48","215,120,453.60","230,920.00","931.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","205,070,207.48","1.41","205,070,207.48","1,234,396.00","166.13","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","164,595,419.75","1.13","164,595,419.75","778,045.00","211.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","161,565,203.76","1.11","161,565,203.76","754,484.00","214.14","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","144,700,795.72","1.00","144,700,795.72","249,652.00","579.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","144,650,183.76","1.00","144,650,183.76","1,218,312.00","118.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","114,141,308.80","0.79","114,141,308.80","427,816.00","266.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","107,452,343.84","0.74","107,452,343.84","639,902.00","167.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","105,482,913.15","0.73","105,482,913.15","120,229.00","877.35","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","105,184,617.23","0.72","105,184,617.23","224,413.00","468.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","104,075,564.37","0.72","104,075,564.37","654,193.00","159.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","96,857,029.65","0.67","96,857,029.65","268,995.00","360.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","92,930,053.80","0.64","92,930,053.80","480,507.00","193.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","86,134,689.50","0.59","86,134,689.50","1,177,025.00","73.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","77,918,414.67","0.54","77,918,414.67","687,657.00","113.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","77,044,277.74","0.53","77,044,277.74","116,167.00","663.22","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","72,272,729.15","0.50","72,272,729.15","1,052,771.00","68.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","71,835,066.27","0.49","71,835,066.27","1,840,509.00","39.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","68,590,685.20","0.47","68,590,685.20","467,239.00","146.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","67,321,019.28","0.46","67,321,019.28","121,483.00","554.16","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","66,822,503.99","0.46","66,822,503.99","254,281.00","262.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","64,321,494.20","0.44","64,321,494.20","372,835.00","172.52","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","64,298,915.04","0.44","64,298,915.04","436,339.00","147.36","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","62,518,740.09","0.43","62,518,740.09","103,561.00","603.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","59,433,217.44","0.41","59,433,217.44","130,296.00","456.14","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","58,326,565.87","0.40","58,326,565.87","425,959.00","136.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","55,324,445.93","0.38","55,324,445.93","170,161.00","325.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","53,710,147.74","0.37","53,710,147.74","195,402.00","274.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","53,362,277.69","0.37","53,362,277.69","1,099,573.00","48.53","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","52,494,112.26","0.36","52,494,112.26","302,839.00","173.34","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","52,038,071.10","0.36","52,038,071.10","469,065.00","110.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","51,855,579.06","0.36","51,855,579.06","950,258.00","54.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","50,139,947.30","0.35","50,139,947.30","295,045.00","169.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","49,897,306.86","0.34","49,897,306.86","247,102.00","201.93","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","49,815,716.29","0.34","49,815,716.29","422,561.00","117.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","48,399,408.99","0.33","48,399,408.99","179,703.00","269.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","48,289,662.72","0.33","48,289,662.72","74,048.00","652.14","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","48,250,881.00","0.33","48,250,881.00","248,780.00","193.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","47,792,449.11","0.33","47,792,449.11","225,617.00","211.83","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","47,314,634.51","0.33","47,314,634.51","145,409.00","325.39","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","46,332,716.91","0.32","46,332,716.91","55,681.00","832.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","46,001,726.51","0.32","46,001,726.51","95,803.00","480.17","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","45,858,612.80","0.32","45,858,612.80","1,145,320.00","40.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","45,830,827.08","0.32","45,830,827.08","132,597.00","345.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","44,268,651.83","0.30","44,268,651.83","498,577.00","88.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","44,159,511.33","0.30","44,159,511.33","1,538,123.00","28.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","43,164,590.10","0.30","43,164,590.10","557,610.00","77.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","42,679,787.48","0.29","42,679,787.48","360,593.00","118.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","42,675,192.36","0.29","42,675,192.36","85,518.00","499.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","41,832,997.38","0.29","41,832,997.38","84,866.00","492.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","41,707,827.20","0.29","41,707,827.20","1,055,360.00","39.52","United States","NASDAQ","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","40,318,407.56","0.28","40,318,407.56","165,436.00","243.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","39,627,813.26","0.27","39,627,813.26","544,862.00","72.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","38,413,020.00","0.26","38,413,020.00","153,960.00","249.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","37,687,864.75","0.26","37,687,864.75","159,175.00","236.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","37,274,596.32","0.26","37,274,596.32","155,272.00","240.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","37,198,621.28","0.26","37,198,621.28","1,948,592.00","19.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","35,344,111.11","0.24","35,344,111.11","317,757.00","111.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","35,070,660.44","0.24","35,070,660.44","176,714.00","198.46","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","34,912,922.10","0.24","34,912,922.10","40,035.00","872.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","34,255,908.84","0.24","34,255,908.84","307,283.00","111.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","34,157,612.88","0.24","34,157,612.88","63,054.00","541.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","33,584,350.80","0.23","33,584,350.80","9,240.00","3,634.67","United States","NASDAQ","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","33,305,326.21","0.23","33,305,326.21","28,337.00","1,175.33","United States","NASDAQ","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","33,096,640.00","0.23","33,096,640.00","70,120.00","472.00","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","32,792,102.10","0.23","32,792,102.10","98,130.00","334.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","32,763,979.50","0.23","32,763,979.50","108,325.00","302.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","32,436,308.68","0.22","32,436,308.68","57,892.00","560.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","31,970,670.45","0.22","31,970,670.45","298,931.00","106.95","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","31,681,371.36","0.22","31,681,371.36","314,799.00","100.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","31,526,451.90","0.22","31,526,451.90","35,419.00","890.10","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","31,496,242.04","0.22","31,496,242.04","520,427.00","60.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","31,416,462.15","0.22","31,416,462.15","251,795.00","124.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","30,875,986.62","0.21","30,875,986.62","397,989.00","77.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","30,541,003.56","0.21","30,541,003.56","36,524.00","836.19","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","30,242,570.05","0.21","30,242,570.05","361,537.00","83.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","30,053,419.55","0.21","30,053,419.55","134,365.00","223.67","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","29,912,152.32","0.21","29,912,152.32","109,713.00","272.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","29,580,461.25","0.20","29,580,461.25","133,697.00","221.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","29,390,180.20","0.20","29,390,180.20","111,470.00","263.66","United States","NASDAQ","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","29,152,449.28","0.20","29,152,449.28","307,256.00","94.88","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","28,565,556.32","0.20","28,565,556.32","83,216.00","343.27","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","27,805,920.61","0.19","27,805,920.61","157,621.00","176.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","27,678,137.74","0.19","27,678,137.74","126,929.00","218.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","27,012,415.29","0.19","27,012,415.29","550,039.00","49.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","26,909,685.00","0.19","26,909,685.00","326,178.00","82.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","26,448,916.84","0.18","26,448,916.84","194,092.00","136.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","26,311,238.03","0.18","26,311,238.03","403,361.00","65.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","26,172,491.04","0.18","26,172,491.04","157,932.00","165.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","25,783,307.76","0.18","25,783,307.76","69,076.00","373.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","25,755,134.02","0.18","25,755,134.02","296,002.00","87.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","25,537,207.67","0.18","25,537,207.67","131,209.00","194.63","United States","NASDAQ","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","25,520,706.12","0.18","25,520,706.12","363,129.00","70.28","United States","NASDAQ","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","25,448,459.40","0.18","25,448,459.40","75,582.00","336.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","25,368,057.00","0.17","25,368,057.00","197,340.00","128.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","25,240,362.84","0.17","25,240,362.84","339,526.00","74.34","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","24,906,013.80","0.17","24,906,013.80","69,843.00","356.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","23,966,904.00","0.17","23,966,904.00","154,128.00","155.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","23,909,529.52","0.16","23,909,529.52","1,155,608.00","20.69","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","23,826,055.95","0.16","23,826,055.95","210,645.00","113.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","23,647,884.40","0.16","23,647,884.40","466,060.00","50.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","22,828,865.28","0.16","22,828,865.28","124,016.00","184.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","22,667,927.30","0.16","22,667,927.30","63,590.00","356.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","22,647,253.68","0.16","22,647,253.68","41,306.00","548.28","United States","NASDAQ","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","22,496,703.57","0.15","22,496,703.57","108,727.00","206.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","22,352,608.32","0.15","22,352,608.32","220,353.00","101.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","21,953,374.20","0.15","21,953,374.20","182,610.00","120.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","21,910,954.20","0.15","21,910,954.20","74,036.00","295.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","21,502,695.60","0.15","21,502,695.60","61,816.00","347.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","21,338,036.48","0.15","21,338,036.48","25,706.00","830.08","United States","NASDAQ","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","21,153,899.55","0.15","21,153,899.55","320,271.00","66.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","21,114,371.91","0.15","21,114,371.91","21,114,372.00","1.00","United States","-","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","20,645,124.12","0.14","20,645,124.12","73,701.00","280.12","United States","NASDAQ","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","20,562,413.68","0.14","20,562,413.68","34,802.00","590.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","20,131,470.64","0.14","20,131,470.64","43,097.00","467.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","20,096,043.39","0.14","20,096,043.39","97,891.00","205.29","United States","NASDAQ","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","19,989,894.33","0.14","19,989,894.33","370,389.00","53.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","19,987,873.08","0.14","19,987,873.08","156,009.00","128.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","19,688,052.64","0.14","19,688,052.64","342,044.00","57.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","19,490,011.12","0.13","19,490,011.12","52,408.00","371.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","19,434,049.12","0.13","19,434,049.12","35,632.00","545.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","19,290,235.14","0.13","19,290,235.14","80,289.00","240.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","19,274,170.36","0.13","19,274,170.36","283,694.00","67.94","United States","NASDAQ","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","19,066,052.40","0.13","19,066,052.40","37,852.00","503.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","18,985,369.48","0.13","18,985,369.48","149,303.00","127.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","18,934,557.50","0.13","18,934,557.50","44,875.00","421.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","18,778,466.06","0.13","18,778,466.06","14,759.00","1,272.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","18,667,102.02","0.13","18,667,102.02","160,453.00","116.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","18,584,223.02","0.13","18,584,223.02","108,161.00","171.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","18,441,244.04","0.13","18,441,244.04","78,802.00","234.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","18,145,061.31","0.12","18,145,061.31","423,851.00","42.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","18,137,089.76","0.12","18,137,089.76","23,624.00","767.74","United States","NASDAQ","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","17,816,501.40","0.12","17,816,501.40","529,780.00","33.63","United States","NASDAQ","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","17,803,970.46","0.12","17,803,970.46","125,681.00","141.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","17,719,217.31","0.12","17,719,217.31","15,879.00","1,115.89","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"AON","AON PLC CLASS A","Financials","Equity","17,643,284.34","0.12","17,643,284.34","53,229.00","331.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","17,497,409.44","0.12","17,497,409.44","388,486.00","45.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","17,442,400.04","0.12","17,442,400.04","61,378.00","284.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","17,260,359.75","0.12","17,260,359.75","95,493.00","180.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","17,027,606.54","0.12","17,027,606.54","545,407.00","31.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","16,985,348.58","0.12","16,985,348.58","389,751.00","43.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","16,609,813.20","0.11","16,609,813.20","58,403.00","284.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","16,458,544.72","0.11","16,458,544.72","60,094.00","273.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","16,288,566.84","0.11","16,288,566.84","67,886.00","239.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","16,254,736.64","0.11","16,254,736.64","85,376.00","190.39","United States","NASDAQ","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","16,187,163.77","0.11","16,187,163.77","155,213.00","104.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","16,152,850.05","0.11","16,152,850.05","232,985.00","69.33","United States","NASDAQ","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","15,947,838.06","0.11","15,947,838.06","186,263.00","85.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","15,931,142.36","0.11","15,931,142.36","114,877.00","138.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","15,898,519.38","0.11","15,898,519.38","155,047.00","102.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","15,796,419.57","0.11","15,796,419.57","28,901.00","546.57","United States","NASDAQ","USD","1.00","USD","-"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","15,715,804.83","0.11","15,715,804.83","141,801.00","110.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","15,560,066.36","0.11","15,560,066.36","315,556.00","49.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","15,554,433.60","0.11","15,554,433.60","227,404.00","68.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
